,Zipcode,2018 Population,2018 Median Age,2018 Household Income,2018 Per Capita Income,2018 Poverty Count,2018 Poverty Rate,Latitude,Longitude,2017 Population,2017 Mediann Age,2017 Household Income,2017 Per Capita Income,2017 Poverty Count,2017 Poverty Rate,2016 Population,2016 Median Age,2016 Household Income,2016 Per Capita Income,2016 Poverty Count,2016 Poverty Rate
35,90043,44627.0,40.6,47500.0,29541.0,8961.0,20.07977233513344,33.9871,-118.3321,44571.0,39.4,41812.0,27437.0,9400.0,21.089946377689532,44328.0,40.0,41449.0,26687.0,8983.0,20.264843890994406
36,90045,41149.0,35.1,96812.0,52519.0,3475.0,8.444919682130793,33.9631,-118.3941,41420.0,35.0,90399.0,48661.0,3938.0,9.50748430709802,41145.0,34.7,81058.0,44571.0,4180.0,10.159193097581722
37,90035,28085.0,36.8,79534.0,55360.0,3351.0,11.931636104682214,34.0531,-118.3806,29920.0,36.1,76677.0,51296.0,3383.0,11.306818181818182,30582.0,36.4,74667.0,50335.0,3449.0,11.277875874697536
38,90036,37988.0,34.7,80998.0,58567.0,3961.0,10.426976940086343,34.0699,-118.3492,38116.0,34.4,74279.0,53842.0,4485.0,11.766712141882675,37931.0,34.3,71917.0,52023.0,5072.0,13.371648519680473
39,90038,27660.0,33.8,39984.0,26001.0,7315.0,26.446131597975416,34.0898,-118.3215,27957.0,33.4,36996.0,24758.0,7956.0,28.457989054619592,28155.0,32.2,35739.0,23709.0,8524.0,30.275261942816552
40,90040,12645.0,34.7,46532.0,17821.0,2065.0,16.330565440885724,33.9909,-118.1532,12925.0,34.6,43585.0,16510.0,2088.0,16.154738878143135,12812.0,34.0,41897.0,15633.0,2204.0,17.202622541367468
41,90041,29516.0,39.7,80547.0,38137.0,2949.0,9.991191218322266,34.1339,-118.2082,28651.0,39.3,73250.0,35817.0,2902.0,10.128791316184426,28405.0,39.7,68457.0,33467.0,3018.0,10.624889984157717
42,90044,96436.0,30.8,34311.0,15416.0,30703.0,31.83769546642333,33.9551,-118.2901,94680.0,30.8,32278.0,14430.0,32596.0,34.42754541613857,90155.0,30.7,30288.0,13515.0,32168.0,35.68077200377128
43,90046,50587.0,38.9,67667.0,65751.0,6557.0,12.961828137663824,34.1074,-118.3652,51615.0,38.8,65990.0,63973.0,6847.0,13.265523588104234,50923.0,39.2,61157.0,61916.0,7274.0,14.28431160772146
44,90048,22892.0,37.3,95197.0,76790.0,1823.0,7.963480691944784,34.0737,-118.37200000000001,22860.0,36.7,85396.0,70123.0,1942.0,8.495188101487312,22722.0,36.5,83672.0,67985.0,2021.0,8.894463515535604
45,90057,49492.0,33.7,33861.0,16600.0,15667.0,31.655621110482503,34.0622,-118.2763,49389.0,34.1,31337.0,15492.0,16961.0,34.34165502439814,48302.0,33.3,29332.0,14399.0,17039.0,35.2759720094406
46,90058,2758.0,25.8,20982.0,10862.0,1420.0,51.48658448150834,33.9994,-118.2133,3189.0,23.5,16425.0,9429.0,1774.0,55.628723737848865,2674.0,23.5,15224.0,8260.0,1895.0,70.86761406133135
47,90047,48883.0,40.0,47477.0,24189.0,8990.0,18.390851625309416,33.9569,-118.3073,48491.0,39.6,42551.0,21712.0,9660.0,19.92122249489596,48306.0,39.0,40913.0,20815.0,10238.0,21.19405456879063
48,90049,36964.0,40.7,127658.0,101869.0,2581.0,6.9824694297153975,34.066,-118.47399999999999,36362.0,40.6,121671.0,99599.0,2659.0,7.312579066057973,35581.0,41.2,117007.0,96078.0,2365.0,6.646805879542452
49,90056,7795.0,49.5,86100.0,56024.0,573.0,7.350865939704938,33.9853,-118.3707,8014.0,50.3,84438.0,54647.0,558.0,6.9628150736211625,8118.0,50.1,74959.0,47886.0,483.0,5.949741315594975
50,90059,45952.0,26.9,41995.0,13197.0,13897.0,30.24242688022284,33.9293,-118.2463,47351.0,26.3,37653.0,12208.0,16204.0,34.2210301788769,46027.0,26.3,35061.0,11822.0,16688.0,36.25697959893107
51,90062,34422.0,34.6,44835.0,19099.0,7716.0,22.415896810179532,34.0032,-118.3073,33627.0,34.6,40018.0,17269.0,7776.0,23.12427513605139,33690.0,34.3,37293.0,15316.0,8836.0,26.227367171267442
52,90063,52951.0,32.5,46613.0,17166.0,10910.0,20.603954599535424,34.0451,-118.1859,53556.0,31.8,44121.0,16107.0,11991.0,22.389648218686986,54142.0,31.2,41267.0,14703.0,13729.0,25.35739352074175
53,90064,25429.0,39.7,95865.0,66508.0,2362.0,9.288607495379292,34.0353,-118.4259,26007.0,38.5,92194.0,61983.0,2354.0,9.05140923597493,27032.0,38.3,92626.0,59338.0,2263.0,8.371559633027523
54,90065,47887.0,37.1,63147.0,31523.0,7509.0,15.680664898615492,34.1073,-118.2266,48420.0,36.5,58405.0,28540.0,8524.0,17.604295745559682,46965.0,37.0,54796.0,27209.0,9086.0,19.34632172894709
55,90066,59394.0,37.8,79088.0,48514.0,6053.0,10.191265110953971,34.003,-118.4298,59747.0,37.1,75209.0,45168.0,6335.0,10.603042830602373,59258.0,37.5,72004.0,42388.0,6448.0,10.881231226163557
56,90061,27646.0,30.7,39739.0,15992.0,7718.0,27.91723938363597,33.9245,-118.2716,28003.0,29.9,37126.0,14215.0,8634.0,30.832410813127165,27203.0,29.1,36094.0,13927.0,8926.0,32.81255743851781
57,90067,2314.0,61.8,129306.0,135962.0,96.0,4.148660328435609,34.0551,-118.4095,2235.0,65.4,123889.0,148638.0,108.0,4.832214765100671,2355.0,65.8,120208.0,152254.0,176.0,7.473460721868364
58,90068,20982.0,42.5,83756.0,81972.0,2277.0,10.852158993422933,34.1156,-118.3305,21726.0,40.5,82718.0,81674.0,2238.0,10.301021817177576,21450.0,39.7,76485.0,75182.0,2490.0,11.608391608391607
59,90073,916.0,54.7,-666666666.0,11950.0,480.0,52.40174672489082,33.7866,-118.2987,944.0,55.9,-666666666.0,11695.0,461.0,48.83474576271186,915.0,54.3,-666666666.0,11281.0,439.0,47.97814207650274
60,90077,8993.0,49.0,210833.0,116179.0,362.0,4.0253530523740695,34.1112,-118.4502,8936.0,49.2,184722.0,110727.0,372.0,4.162936436884512,8912.0,47.9,178194.0,100874.0,311.0,3.48967684021544
61,90089,3862.0,19.1,-666666666.0,7388.0,16.0,0.4142931123770067,33.7866,-118.2987,3846.0,19.1,-666666666.0,6764.0,15.0,0.39001560062402496,3680.0,19.1,-666666666.0,7110.0,13.0,0.3532608695652174
